OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CO,USGS Colorado Water Science Center,USGS-393807106174600,"GORE CREEK ABV BIGHORN CREEK NEAR VAIL, CO.",Stream,,14010003,,,,,39.63526370000000,-106.2966939000000,24000,1,seconds,Interpolated from MAP.,NAD83,8445,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393814106221500,MILL CREEK AT SKI AREA AT VAIL CO.,Stream,,14010003,,,,,39.63720820000000,-106.3714176000000,24000,1,seconds,Interpolated from MAP.,NAD83,8320,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393823106240000,"GORE CREEK BLW RED SANDSTONE CR AT VAIL, CO.",Stream,,14010003,,,,,39.63970820000000,-106.4005849000000,24000,1,seconds,Interpolated from MAP.,NAD83,8025,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393824106221700,MILL CREEK NR VAIL,Stream,,14010003,,,,,39.63998599000000,-106.3719732000000,24000,5,seconds,Interpolated from MAP.,NAD83,8210,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393825106213400,GORE CREEK DOWNSTREAM OF PULIS BRIDGE,Stream,,14010003,,,,,39.64026376000000,-106.3600285000000,24000,5,seconds,Interpolated from MAP.,NAD83,8210,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393825106220000,"GORE CREEK BELOW GOLF COURSE, AT VAIL CO.",Stream,,14010003,,,,,39.64026377000000,-106.3672509000000,24000,1,seconds,Interpolated from MAP.,NAD83,8195,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393826106223800,GORE CREEK AT MIDDLE CREEK,Stream,,14010003,,,,,39.64054155000000,-106.3778067000000,24000,5,seconds,Interpolated from MAP.,NAD83,8150,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393827106222100,MILL CR NR MOUTH AT VAIL COLORADO,Stream,,14010003,,,,,39.64081930000000,-106.3730843000000,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393829106234400,"RED SANDSTONE CREEK AT MOUTH, AT VAIL, CO",Stream,,14010003,,,,,39.64137490000000,-106.3961404000000,24000,1,seconds,Interpolated from MAP.,NAD83,8100,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393831106181900,GORE CREEK AT BIGHORN SUBDIV. BELOW PITKIN CREEK,Stream,,14010003,,,,,39.64193039000000,-106.3058607000000,24000,1,seconds,Interpolated from MAP.,NAD83,8370,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393842106571900,"GYPSUM CR AT GYPSUM, CO SITE 1A",Stream,,14010003,,,,,39.64498505000000,-106.9558777000000,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393842106571901,"GYPSUM CR AT GYPSUM, CO SITE 1B",Stream,,14010003,,,,,39.64498505000000,-106.9558777000000,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393844106192100,"GORE CREEK ABOVE WELL FIELD, NEAR VAIL, CO.",Stream,,14010003,,,,,39.64554150000000,-106.3230833000000,24000,1,seconds,Interpolated from MAP.,NAD83,8300,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393844106195300,"GORE CREEK AT GOLF COURSE AT VAIL, CO",Stream,,14010003,,,,,39.64554150000000,-106.3319724000000,24000,1,seconds,Interpolated from MAP.,NAD83,8280,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393845106353000,"EAGLE RIVER AT EDWARDS, CO.",Stream,,14010003,,,,,39.64581937000000,-106.5922555000000,24000,1,seconds,Interpolated from MAP.,NAD83,7180,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393847106502500,BRUSH CR AT MOUTH NR EAGLE,Stream,,14010003,,,,,39.64637445000000,-106.8408733000000,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393850106353500,EAGLE RIVER AT EDWARDS,Stream,,14010003,,,,,39.64720826000000,-106.5936444000000,24000,1,seconds,Interpolated from MAP.,NAD83,7180,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393851106193100,GORE CREEK AT BOOTH CREEK ROAD,Stream,,14010003,,,,,39.64748594000000,-106.3258612000000,24000,5,seconds,Interpolated from MAP.,NAD83,8300,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393851106503400,"BRUSH CREEK AT MOUTH NEAR EAGLE, CO",Stream,,14010003,,,,,39.64750000000000,-106.8427778000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6500,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393852106503200,"EAGLE RIVER ABOVE BRUSH CREEK AT EAGLE, CO",Stream,,14010003,,,,,39.64777778000000,-106.8422222000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6500,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393857106570700,GYPSUM CR AT MOUTH NR GYPSUM,Stream,,14010003,,,,,39.64915177000000,-106.9525443000000,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393858106570900,GYPSUM CREEK AT MOUTH,Stream,,14010003,,,,,39.64944444000000,-106.9525000000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6280,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393901106231400,GORE CR ABV STP NR VAIL CO,Stream,,14010003,,,,,39.65026377000000,-106.3878069000000,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393930106382001,COLOROW CREEK,Stream,,14010003,,,,,39.65831940000000,-106.6394787000000,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393930106494001,"EBY CREEK AT MOUTH NEAR EAGLE, CO SITE 1B",Stream,,14010003,,,,,39.65831906000000,-106.8283728000000,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393935106493001,"EBY CREEK AT MOUTH NEAR EAGLE, CO SITE 1A",Stream,,14010003,,,,,39.65970797000000,-106.8255949000000,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393937106485400,"EAGLE RIVER AT HWY 6 BRIDGE ABOVE EAGLE, CO.",Stream,,14010003,,,,,39.66026357000000,-106.8155945000000,24000,1,seconds,Interpolated from MAP.,NAD83,6590,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-393940106345501,BERRY CREEK,Stream,,14010003,,,,,39.66109720000000,-106.5825331000000,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-394005106330001,JUNE CREEK,Stream,,14010003,,,,,39.66804168000000,-106.5505880000000,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-394129106393300,EAGLE RIVER AT EAGLE SPGS. GOLF COURSE NR WOLCOTT,Stream,,14010003,,,,,39.69137517000000,-106.6597569000000,24000,1,seconds,Interpolated from MAP.,NAD83,6980,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-394220106431500,"EAGLE RIVER BELOW MILK CREEK NEAR WOLCOTT, CO",Stream,,14010003,600,sq mi,,,39.70500000000000,-106.7258333000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6820,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-394240106423200,"MILK CR. AT MOUTH, NR. WOLCOTT",Stream,,14010003,,,,,39.71109760000000,-106.7094801000000,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-394259106405900,"ALKALI CREEK BELOW MUDDY CREEK, NEAR WOLCOTT, CO",Stream,,14010003,,,,,39.71638889000000,-106.6830556000000,24000,1,seconds,Interpolated from MAP.,NAD83,7060.00,feet,10,feet,Interpolated from topographic map.,NAVD88,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-394305106405001,ALKALI CREEK,Stream,,14010003,,,,,39.71804205000000,-106.6811462000000,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-394415106424200,MILK CREEK 2 MI ABOVE MOUTH,Stream,,14010003,,,,,39.73750000000000,-106.7116667000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,7320,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
